Mode  7:  135.966 : 0.5 E2g
Mode  8:  135.966 : 0.5 E2g
Mode  9:  214.113 : 0.5 E1u
Mode 10:  214.113 : 0.5 E1u
Mode 11:  224.463 : 0.5 E1g
Mode 12:  224.463 : 0.5 E1g
Mode 13:  225.472 : A1u
Mode 14:  233.910 : 0.5 E2u
Mode 15:  233.910 : 0.5 E2u
Mode 16:  243.105 : A1g
Mode 17:  245.176 : 0.5 E2u
Mode 18:  245.176 : 0.5 E2u
Mode 19:  297.842 : A2u
Mode 20:  313.027 : 0.5 E2g
Mode 21:  313.027 : 0.5 E2g
Mode 22:  326.864 : 0.5 E1u
Mode 23:  326.864 : 0.5 E1u
Mode 24:  326.964 : 0.5 E2g
Mode 25:  326.964 : 0.5 E2g
Mode 26:  330.231 : A1g
Mode 27:  337.391 : 0.5 E1g
Mode 28:  337.391 : 0.5 E1g
Mode 29:  368.013 : 0.5 E1g
Mode 30:  368.013 : 0.5 E1g
Mode 31:  382.276 : A1g
Mode 32:  383.330 : A2u
Mode 33:  386.585 : 0.5 E2u
Mode 34:  386.585 : 0.5 E2u
Mode 35:  398.595 : 0.5 E1u
Mode 36:  398.595 : 0.5 E1u
Mode 37:  404.758 : 0.5 E2u
Mode 38:  404.758 : 0.5 E2u
Mode 39:  420.043 : 0.5 E1u
Mode 40:  420.043 : 0.5 E1u
Mode 41:  420.805 : 0.5 E2u
Mode 42:  420.805 : 0.5 E2u
Mode 43:  422.417 : A2g
Mode 44:  431.337 : 0.5 E1g
Mode 45:  431.337 : 0.5 E1g
Mode 46:  437.068 : A1g
Mode 47:  453.011 : A1u
Mode 48:  455.922 : 0.5 E1g
Mode 49:  455.922 : 0.5 E1g
Mode 50:  462.291 : 0.5 E2g
Mode 51:  462.291 : 0.5 E2g
Mode 52:  484.830 : A2g
Mode 53:  490.319 : A2u
Mode 54:  490.831 : 0.5 E1u
Mode 55:  490.831 : 0.5 E1u
Mode 56:  491.384 : 0.5 E2g
Mode 57:  491.384 : 0.5 E2g
Mode 58:  499.213 : 0.5 E1g
Mode 59:  499.213 : 0.5 E1g
Mode 60:  517.433 : 0.5 E2g
Mode 61:  517.433 : 0.5 E2g
Mode 62:  518.377 : 0.5 E1u
Mode 63:  518.377 : 0.5 E1u
Mode 64:  523.396 : 0.5 E2u
Mode 65:  523.396 : 0.5 E2u
Mode 66:  529.337 : A2u
Mode 67:  530.531 : A1u
Mode 68:  543.663 : 0.5 E1u
Mode 69:  543.663 : 0.5 E1u
Mode 70:  553.775 : 0.5 E2g
Mode 71:  553.775 : 0.5 E2g
Mode 72:  557.750 : 0.5 E1g
Mode 73:  557.750 : 0.5 E1g
Mode 74:  560.723 : 0.5 E1u
Mode 75:  560.723 : 0.5 E1u
Mode 76:  562.433 : A1u
Mode 77:  568.607 : A1g
Mode 78:  578.382 : 0.5 E2u
Mode 79:  578.382 : 0.5 E2u
Mode 80:  606.575 : A2g
Mode 81:  613.019 : A1g
Mode 82:  619.839 : 0.5 E2g
Mode 83:  619.839 : 0.5 E2g
Mode 84:  623.076 : A2g
Mode 85:  623.192 : 0.5 E1g
Mode 86:  623.192 : 0.5 E1g
Mode 87:  634.581 : A2u
Mode 88:  638.065 : 0.5 E2u
Mode 89:  638.065 : 0.5 E2u
Mode 90:  642.738 : 0.5 E1u
Mode 91:  642.738 : 0.5 E1u
Mode 92:  649.101 : 0.5 E1g
Mode 93:  649.101 : 0.5 E1g
Mode 94:  663.016 : 0.5 E1u
Mode 95:  663.016 : 0.5 E1u
Mode 96:  678.160 : 0.5 E2u
Mode 97:  678.160 : 0.5 E2u
Mode 98:  680.197 : A1u
Mode 99:  683.341 : 0.5 E1g
Mode 100:  683.341 : 0.5 E1g
Mode 101:  693.458 : 0.5 E2g
Mode 102:  693.458 : 0.5 E2g
Mode 103:  704.126 : 0.5 E2u
Mode 104:  704.126 : 0.5 E2u
Mode 105:  704.803 : 0.5 E1g
Mode 106:  704.803 : 0.5 E1g
Mode 107:  712.149 : 0.5 E2g
Mode 108:  712.149 : 0.5 E2g
Mode 109:  717.240 : A2g
Mode 110:  718.992 : 0.5 E2g
Mode 111:  718.992 : 0.5 E2g
Mode 112:  724.326 : A2u
Mode 113:  725.246 : 0.5 E1u
Mode 114:  725.246 : 0.5 E1u
Mode 115:  725.286 : A1g
Mode 116:  725.509 : 0.5 E2u
Mode 117:  725.509 : 0.5 E2u
Mode 118:  730.472 : 0.5 E2g
Mode 119:  730.472 : 0.5 E2g
Mode 120:  730.717 : 0.5 E2u
Mode 121:  730.717 : 0.5 E2u
Mode 122:  732.504 : A2g
Mode 123:  733.843 : A1u
Mode 124:  738.878 : 0.5 E2g
Mode 125:  738.878 : 0.5 E2g
Mode 126:  744.092 : 0.5 E1g
Mode 127:  744.092 : 0.5 E1g
Mode 128:  747.527 : 0.5 E2g
Mode 129:  747.527 : 0.5 E2g
Mode 130:  747.905 : 0.5 E1u
Mode 131:  747.905 : 0.5 E1u
Mode 132:  752.204 : A2u
Mode 133:  754.162 : 0.5 E1u
Mode 134:  754.162 : 0.5 E1u
Mode 135:  756.655 : A1u
Mode 136:  762.629 : 0.5 E2u
Mode 137:  762.629 : 0.5 E2u
Mode 138:  765.319 : 0.5 E1g
Mode 139:  765.319 : 0.5 E1g
Mode 140:  766.915 : 0.5 E2u
Mode 141:  766.915 : 0.5 E2u
Mode 142:  776.336 : 0.5 E1g
Mode 143:  776.336 : 0.5 E1g
Mode 144:  780.022 : A2g
Mode 145:  784.639 : 0.5 E1u
Mode 146:  784.639 : 0.5 E1u
Mode 147:  786.879 : 0.5 E2g
Mode 148:  786.879 : 0.5 E2g
Mode 149:  791.390 : 0.5 E1u
Mode 150:  791.390 : 0.5 E1u
Mode 151:  791.804 : 0.5 E2g
Mode 152:  791.804 : 0.5 E2g
Mode 153:  798.567 : 0.5 E2u
Mode 154:  798.567 : 0.5 E2u
Mode 155:  829.335 : 0.5 E2u
Mode 156:  829.335 : 0.5 E2u
Mode 157:  836.985 : A2g
Mode 158:  853.862 : 0.5 E1g
Mode 159:  853.862 : 0.5 E1g
Mode 160:  865.537 : A1u
Mode 161:  874.737 : 0.5 E1u
Mode 162:  874.737 : 0.5 E1u
Mode 163:  908.618 : A1g
Mode 164:  927.808 : 0.5 E1g
Mode 165:  927.808 : 0.5 E1g
Mode 166:  943.293 : 0.5 E2u
Mode 167:  943.293 : 0.5 E2u
Mode 168:  946.367 : A1u
Mode 169:  969.028 : 0.5 E2g
Mode 170:  969.028 : 0.5 E2g
Mode 171:  970.116 : A2g
Mode 172: 1007.015 : 0.5 E2g
Mode 173: 1007.015 : 0.5 E2g
Mode 174: 1034.166 : A2u
Mode 175: 1052.059 : 0.5 E1u
Mode 176: 1052.059 : 0.5 E1u
Mode 177: 1081.149 : 0.5 E2u
Mode 178: 1081.149 : 0.5 E2u
Mode 179: 1112.588 : 0.5 E2u
Mode 180: 1112.588 : 0.5 E2u
Mode 181: 1126.564 : 0.5 E1g
Mode 182: 1126.564 : 0.5 E1g
Mode 183: 1127.386 : A1g
Mode 184: 1131.381 : 0.5 E1u
Mode 185: 1131.381 : 0.5 E1u
