Mode  7:  137.444 : 0.5 E2g
Mode  8:  137.444 : 0.5 E2g
Mode  9:  214.955 : 0.5 E1u
Mode 10:  214.955 : 0.5 E1u
Mode 11:  225.281 : 0.5 E1g
Mode 12:  225.281 : 0.5 E1g
Mode 13:  226.506 : A1u
Mode 14:  238.276 : 0.5 E2u
Mode 15:  238.276 : 0.5 E2u
Mode 16:  244.124 : A1g
Mode 17:  246.980 : 0.5 E2u
Mode 18:  246.980 : 0.5 E2u
Mode 19:  299.584 : A2u
Mode 20:  317.617 : 0.5 E2g
Mode 21:  317.617 : 0.5 E2g
Mode 22:  328.401 : 0.5 E1u
Mode 23:  328.401 : 0.5 E1u
Mode 24:  330.273 : 0.5 E2g
Mode 25:  330.273 : 0.5 E2g
Mode 26:  331.346 : A1g
Mode 27:  340.185 : 0.5 E1g
Mode 28:  340.185 : 0.5 E1g
Mode 29:  376.232 : 0.5 E1g
Mode 30:  376.232 : 0.5 E1g
Mode 31:  382.797 : A1g
Mode 32:  387.250 : A2u
Mode 33:  390.624 : 0.5 E2u
Mode 34:  390.624 : 0.5 E2u
Mode 35:  403.188 : 0.5 E1u
Mode 36:  403.188 : 0.5 E1u
Mode 37:  409.791 : 0.5 E2u
Mode 38:  409.791 : 0.5 E2u
Mode 39:  425.174 : A2g
Mode 40:  425.666 : 0.5 E2u
Mode 41:  425.666 : 0.5 E2u
Mode 42:  427.650 : 0.5 E1u
Mode 43:  427.650 : 0.5 E1u
Mode 44:  433.926 : 0.5 E1g
Mode 45:  433.926 : 0.5 E1g
Mode 46:  442.397 : A1g
Mode 47:  461.063 : 0.5 E1g
Mode 48:  461.063 : 0.5 E1g
Mode 49:  465.178 : A1u
Mode 50:  469.051 : 0.5 E2g
Mode 51:  469.051 : 0.5 E2g
Mode 52:  491.070 : 0.5 E1u
Mode 53:  491.070 : 0.5 E1u
Mode 54:  495.558 : A2u
Mode 55:  495.621 : A2g
Mode 56:  498.836 : 0.5 E2g
Mode 57:  498.836 : 0.5 E2g
Mode 58:  509.483 : 0.5 E1g
Mode 59:  509.483 : 0.5 E1g
Mode 60:  523.658 : 0.5 E2g
Mode 61:  523.658 : 0.5 E2g
Mode 62:  525.123 : 0.5 E1u
Mode 63:  525.123 : 0.5 E1u
Mode 64:  528.813 : A2u
Mode 65:  533.826 : 0.5 E2u
Mode 66:  533.826 : 0.5 E2u
Mode 67:  539.010 : A1u
Mode 68:  549.347 : 0.5 E1u
Mode 69:  549.347 : 0.5 E1u
Mode 70:  556.844 : 0.5 E2g
Mode 71:  556.844 : 0.5 E2g
Mode 72:  568.408 : 0.5 E1g
Mode 73:  568.408 : 0.5 E1g
Mode 74:  569.332 : A1u
Mode 75:  571.076 : 0.5 E1u
Mode 76:  571.076 : 0.5 E1u
Mode 77:  577.192 : A1g
Mode 78:  581.600 : 0.5 E2u
Mode 79:  581.600 : 0.5 E2u
Mode 80:  611.618 : A1g
Mode 81:  617.952 : A2g
Mode 82:  623.721 : 0.5 E2g
Mode 83:  623.721 : 0.5 E2g
Mode 84:  626.926 : 0.5 E1g
Mode 85:  626.926 : 0.5 E1g
Mode 86:  627.815 : A2g
Mode 87:  642.440 : 0.5 E2u
Mode 88:  642.440 : 0.5 E2u
Mode 89:  643.214 : A2u
Mode 90:  650.018 : 0.5 E1g
Mode 91:  650.018 : 0.5 E1g
Mode 92:  653.565 : 0.5 E1u
Mode 93:  653.565 : 0.5 E1u
Mode 94:  669.792 : 0.5 E1u
Mode 95:  669.792 : 0.5 E1u
Mode 96:  687.600 : 0.5 E2u
Mode 97:  687.600 : 0.5 E2u
Mode 98:  690.527 : A1u
Mode 99:  696.361 : 0.5 E1g
Mode 100:  696.361 : 0.5 E1g
Mode 101:  704.678 : 0.5 E2g
Mode 102:  704.678 : 0.5 E2g
Mode 103:  713.278 : 0.5 E2u
Mode 104:  713.278 : 0.5 E2u
Mode 105:  715.483 : 0.5 E2g
Mode 106:  715.483 : 0.5 E2g
Mode 107:  719.612 : 0.5 E1g
Mode 108:  719.612 : 0.5 E1g
Mode 109:  725.400 : 0.5 E2g
Mode 110:  725.400 : 0.5 E2g
Mode 111:  732.825 : A2g
Mode 112:  738.142 : A2u
Mode 113:  738.932 : 0.5 E1u
Mode 114:  738.932 : 0.5 E1u
Mode 115:  739.219 : A1g
Mode 116:  744.066 : 0.5 E2u
Mode 117:  744.066 : 0.5 E2u
Mode 118:  746.848 : A1u
Mode 119:  749.862 : A2u
Mode 120:  757.302 : 0.5 E2g
Mode 121:  757.302 : 0.5 E2g
Mode 122:  764.742 : 0.5 E2g
Mode 123:  764.742 : 0.5 E2g
Mode 124:  765.999 : 0.5 E1u
Mode 125:  765.999 : 0.5 E1u
