Mode  7:  160.628 : 0.5 E2'
Mode  8:  160.628 : 0.5 E2'
Mode  9:  231.640 : 0.5 E1''
Mode 10:  231.640 : 0.5 E1''
Mode 11:  251.948 : 0.5 E1'
Mode 12:  251.948 : 0.5 E1'
Mode 13:  254.822 : 0.5 E2'
Mode 14:  254.822 : 0.5 E2'
Mode 15:  255.148 : A1'
Mode 16:  256.449 : A1''
Mode 17:  266.514 : 0.5 E2''
Mode 18:  266.514 : 0.5 E2''
Mode 19:  307.147 : A2''
Mode 20:  338.118 : 0.5 E1'
Mode 21:  338.118 : 0.5 E1'
Mode 22:  342.081 : A1'
Mode 23:  342.402 : 0.5 E2''
Mode 24:  342.402 : 0.5 E2''
Mode 25:  354.915 : 0.5 E2'
Mode 26:  354.915 : 0.5 E2'
Mode 27:  364.445 : 0.5 E1''
Mode 28:  364.445 : 0.5 E1''
Mode 29:  386.810 : 0.5 E1'
Mode 30:  386.810 : 0.5 E1'
Mode 31:  399.343 : 0.5 E2''
Mode 32:  399.343 : 0.5 E2''
Mode 33:  401.721 : A1'
Mode 34:  416.597 : A2''
Mode 35:  429.895 : 0.5 E1'
Mode 36:  429.895 : 0.5 E1'
Mode 37:  431.528 : 0.5 E2'
Mode 38:  431.528 : 0.5 E2'
Mode 39:  436.294 : 0.5 E1''
Mode 40:  436.294 : 0.5 E1''
Mode 41:  461.205 : 0.5 E1''
Mode 42:  461.205 : 0.5 E1''
Mode 43:  463.823 : A2'
Mode 44:  465.187 : 0.5 E2''
Mode 45:  465.187 : 0.5 E2''
Mode 46:  478.089 : A2'
Mode 47:  479.577 : A1'
Mode 48:  496.839 : 0.5 E2'
Mode 49:  496.839 : 0.5 E2'
Mode 50:  498.972 : 0.5 E1'
Mode 51:  498.972 : 0.5 E1'
Mode 52:  505.374 : A1''
Mode 53:  516.503 : 0.5 E1''
Mode 54:  516.503 : 0.5 E1''
Mode 55:  521.745 : 0.5 E1'
Mode 56:  521.745 : 0.5 E1'
Mode 57:  522.353 : 0.5 E2''
Mode 58:  522.353 : 0.5 E2''
Mode 59:  543.126 : A2''
Mode 60:  546.855 : 0.5 E2'
Mode 61:  546.855 : 0.5 E2'
Mode 62:  554.954 : A2''
Mode 63:  559.797 : 0.5 E2''
Mode 64:  559.797 : 0.5 E2''
Mode 65:  560.107 : 0.5 E1'
Mode 66:  560.107 : 0.5 E1'
Mode 67:  563.632 : A2'
Mode 68:  579.264 : A1''
Mode 69:  579.389 : 0.5 E1''
Mode 70:  579.389 : 0.5 E1''
Mode 71:  585.194 : 0.5 E1'
Mode 72:  585.194 : 0.5 E1'
Mode 73:  590.231 : 0.5 E2''
Mode 74:  590.231 : 0.5 E2''
Mode 75:  633.717 : A1'
Mode 76:  636.963 : A1'
Mode 77:  644.475 : 0.5 E1''
Mode 78:  644.475 : 0.5 E1''
Mode 79:  646.405 : 0.5 E2'
Mode 80:  646.405 : 0.5 E2'
Mode 81:  660.722 : A1''
Mode 82:  663.734 : A2'
Mode 83:  672.049 : 0.5 E2'
Mode 84:  672.049 : 0.5 E2'
Mode 85:  678.467 : 0.5 E1''
Mode 86:  678.467 : 0.5 E1''
Mode 87:  682.551 : 0.5 E1''
Mode 88:  682.551 : 0.5 E1''
Mode 89:  696.904 : 0.5 E1'
Mode 90:  696.904 : 0.5 E1'
