name,molecule,natoms,freq,axx,ayy,azz,dipole
c100-D5d_p_1126037_000,c100-D5d,100,0.0,881.99551,881.99742,1383.20736,0.0
c100-D5d_p_1153585_001,c100-D5d,100,0.01,880.45898,880.4612,1379.0732,0.0
c100-D5d_p_1153585_002,c100-D5d,100,0.02,875.97942,875.98165,1367.09127,0.0
c100-D5d_p_1153585_003,c100-D5d,100,0.04,859.68493,859.68714,1324.43409,0.0
c100-D5d_p_1148349_004,c100-D5d,100,0.08,810.13712,810.13929,1203.27812,0.0
c100-D5d_p_1147775_005,c100-D5d,100,0.16,698.2619,698.26364,967.81204,0.0
c100-D5d_p_1148349_006,c100-D5d,100,0.32,520.83777,520.83816,665.03253,0.0
c100-D5d_p_1126037_007,c100-D5d,100,0.64,315.30595,315.30686,372.98303,0.0
c100-D5d_p_1126037_008,c100-D5d,100,1.28,142.89945,142.9007,156.85395,0.0
c100-D5d_p_1126037_009,c100-D5d,100,2.56,49.57482,49.5753,51.49167,0.0
c100-D5d_p_1126037_010,c100-D5d,100,5.12,14.58209,14.58214,14.75734,0.0
c100-D5d_p_1126037_011,c100-D5d,100,10.24,4.00031,4.00033,4.01669,0.0
c100-D5d_p_1126037_012,c100-D5d,100,20.48,1.06189,1.0619,1.06486,0.0
c100-D5d_p_1126037_013,c100-D5d,100,40.96,0.27256,0.27256,0.27333,0.0
c100-D5d_p_1126037_014,c100-D5d,100,81.92,0.06869,0.06869,0.06889,0.0
c114-D3h_p_1175024_000,c114-D3h,114,0.0,983.43455,983.44076,1717.23148,0.0011209
c114-D3h_p_1180149_001,c114-D3h,114,0.01,981.95017,981.95653,1711.57619,0.0011209
c114-D3h_p_1180149_002,c114-D3h,114,0.02,977.58985,977.5963,1695.23221,0.0011209
c114-D3h_p_1180149_003,c114-D3h,114,0.04,961.3567,961.36339,1637.44987,0.0011209
c114-D3h_p_1179409_004,c114-D3h,114,0.08,909.4027,909.40975,1475.82702,0.0011209
c114-D3h_p_1179409_005,c114-D3h,114,0.16,786.37763,786.38419,1168.08003,0.0011209
c114-D3h_p_1177064_006,c114-D3h,114,0.32,588.59319,588.59783,786.06466,0.0011209
c114-D3h_p_1175024_007,c114-D3h,114,0.64,357.50975,357.51204,434.17204,0.0011209
c114-D3h_p_1175024_008,c114-D3h,114,1.28,162.36482,162.36553,180.72913,0.0011209
c114-D3h_p_1175024_009,c114-D3h,114,2.56,56.41347,56.41369,58.95794,0.0011209
c114-D3h_p_1175024_010,c114-D3h,114,5.12,16.60943,16.60952,16.84885,0.0011209
c114-D3h_p_1175024_011,c114-D3h,114,10.24,4.55885,4.55888,4.58152,0.0011209
c114-D3h_p_1175024_012,c114-D3h,114,20.48,1.21052,1.21053,1.21424,0.0011209
c114-D3h_p_1175024_013,c114-D3h,114,40.96,0.31075,0.31075,0.31165,0.0011209
c114-D3h_p_1175024_014,c114-D3h,114,81.92,0.07832,0.07832,0.07855,0.0011209
c120-D5d_p_1325682_000,c120-D5d,120,0.0,1016.05367,1016.05903,1949.11463,4.2607e-05
c120-D5d_p_1340204_001,c120-D5d,120,0.01,1014.55482,1014.56046,1941.37147,4.2605e-05
c120-D5d_p_1340204_002,c120-D5d,120,0.02,1010.15047,1010.1561,1919.14323,4.2605e-05
c120-D5d_p_1350405_003,c120-D5d,120,0.04,993.7331,993.73868,1842.3211,4.2605e-05
c120-D5d_p_1340204_004,c120-D5d,120,0.08,941.08891,941.09418,1638.82096,4.2605e-05
c120-D5d_p_1335738_005,c120-D5d,120,0.16,815.95151,815.95558,1277.69382,4.2605e-05
c120-D5d_p_1335738_006,c120-D5d,120,0.32,612.69319,612.69469,849.74358,4.2605e-05
c120-D5d_p_1325682_007,c120-D5d,120,0.64,373.43434,373.43544,464.45914,4.2606e-05
c120-D5d_p_1335717_008,c120-D5d,120,1.28,170.23007,170.232,191.68155,4.2605e-05
c120-D5d_p_1325682_009,c120-D5d,120,2.56,59.30607,59.30693,62.22924,4.2606e-05
c120-D5d_p_1325682_010,c120-D5d,120,5.12,17.48239,17.48254,17.75168,4.2605e-05
c120-D5d_p_1325682_011,c120-D5d,120,10.24,4.79983,4.79983,4.82582,4.2605e-05
c120-D5d_p_1325682_012,c120-D5d,120,20.48,1.27447,1.27448,1.27936,4.2605e-05
c120-D5d_p_1325682_013,c120-D5d,120,40.96,0.32714,0.32715,0.32843,4.2605e-05
c120-D5d_p_1325682_014,c120-D5d,120,81.92,0.08245,0.08245,0.08278,4.2605e-05
c130-D5h_p_1175070_000,c130-D5h,130,0.0,1105.57401,1105.58182,2301.4078,0.001113073
c130-D5h_p_1186310_001,c130-D5h,130,0.01,1103.66996,1103.67751,2289.00087,0.001113073
