name,natoms,pt_group,homo,lumo,En,Eca,Ean,axx,ayy,azz,dipole
c20-Ih_E_29110846,20,Ih,-5.504,-3.6129,-20705.93377,-20698.76003,-20707.94154,179.67513,186.4075,190.15197,8e-05
c60-Ih_E_29107586,60,Ih,-6.4326,-3.7378,-62167.46293,-62159.86968,-62170.05048,550.39594,550.39664,550.39718,4e-05
c70-D5h_E_29108493,70,D5h,-6.3668,-3.7213,-72531.62224,-72524.1634,-72534.26044,658.2289,658.27357,726.59926,0.00075
c72-D6d_E_29110855,72,D6d,-6.254,-3.8138,-74602.7502,-74595.41011,-74605.4891,583.10143,739.75795,739.75854,2e-05
c78-D3h-4_E_29110888,78,D3h,-6.0914,-3.6849,-80821.18123,-80814.03939,-80823.82277,702.58598,702.60273,853.83501,0.00018
c80-D5d_E_29109138,80,D5d,-5.3719,-4.4254,-82894.32805,-82887.91238,-82897.71831,712.43622,712.4519,918.88321,2e-05
c80-Ih_E_29110901,80,Ih,-5.7202,-4.9535,-82893.26093,-82886.49887,-82897.19447,874.9509,880.62402,888.47163,7e-05
c84-D2-1_R_E_29112022,84,D2,-6.0334,-3.7192,-87038.89897,-87031.84331,-87041.6049,678.37083,841.33351,959.49684,5e-05
c90-D5h_E_29109157,90,D5h,-5.7322,-3.8236,-93258.48196,-93251.75158,-93261.31672,784.82826,784.84438,1125.54653,0.00092
c96-D2_R_E_29112048,96,D2,-5.8831,-3.7691,-99476.57327,-99469.71958,-99479.37727,832.2856,872.1456,1212.27839,5e-05
c96-D3d_E_30024027,96,D3d,-5.8339,-3.7876,-99476.52795,-99469.72662,-99479.35035,843.29212,843.43278,1240.37451,3e-05
c100-D5d_E_29112745,100,D5d,-5.8776,-3.7033,-103622.0202,-103615.18876,-103624.77864,881.95239,881.99795,1382.98735,2e-05
c108-D2_R_E_29118854,108,D2,-5.7214,-3.7577,-111911.33508,-111904.6902,-111914.17324,842.23641,1052.5178,1521.33068,5e-05
c110-D5h_E_29130921,110,D5h,-5.23,-4.1905,-113985.03371,-113978.88808,-113988.31548,977.814,977.87689,1667.53067,0.00036
c114-D3h_E_29118980,114,D3h,-5.6339,-3.7714,-118130.75638,-118124.2236,-118133.62881,983.23898,983.49928,1717.07197,0.00042
c120-D2_R_E_29118899,120,D2,-5.6096,-3.7998,-124348.31155,-124341.81943,-124351.23171,969.16176,1117.18302,1849.20868,0.00013
c120-D5d_E_48183288,120,D5d,-5.3812,-3.9596,-124348.91602,-124342.65326,-124351.99886,1015.92834,1015.98118,1948.79062,7e-05
c130-D5h_E_29131477,130,D5h,-5.5883,-3.7688,-134712.54511,-134706.10605,-134715.46999,1105.45761,1105.53225,2301.03999,0.0011
c132-D2_R_E_29158246,132,D2,-5.488,-3.8715,-136785.0884,-136778.75387,-136788.11552,1092.66232,1179.04575,2223.56337,5e-05
c132-D3d_E_29118993,132,D3d,-5.4749,-3.8583,-136785.31023,-136778.99331,-136788.32529,1121.84955,1122.16552,2285.86272,4e-05
c140-D5d_E_29130685,140,D5d,-5.1175,-4.1358,-145075.73681,-145069.79712,-145079.05614,1197.58376,1197.69579,2686.73676,5e-05
c144-D2_R_E_29130772,144,D2,-5.4044,-3.8696,-149220.6659,-149214.44799,-149223.72341,1120.41443,1335.14174,2648.08425,2e-05
c150-D3h_E_29127613,150,D3h,-5.3557,-3.8589,-155439.85609,-155433.70698,-155442.91932,1258.96075,1259.29979,2955.06339,9e-05
c150-D5h_E_29130642,150,D5h,-5.1692,-4.0403,-155439.42465,-155433.46017,-155442.6725,1242.33537,1242.43447,3057.28867,0.00134
c156-D2_R_E_29120959,156,D2,-5.3314,-3.899,-161657.69368,-161651.57832,-161660.8097,1270.90714,1371.96017,3105.41631,0.00026
c160-D5d_E_48203147,160,D5d,-5.3752,-3.8118,-165803.0456,-165796.89912,-165806.09062,1327.23908,1327.3327,3517.51636,3e-05
c168-D2_R_E_29120927,168,D2,-5.2567,-3.9403,-174094.01827,-174088.00415,-174097.20186,1352.71484,1472.82979,3620.16973,6e-05
c168-D3d_E_29214305,168,D3d,-5.2585,-3.9058,-174094.34724,-174088.33721,-174097.49881,1395.1821,1395.54481,3734.27875,1e-05
c170-D5h_E_29159022,170,D5h,-5.0456,-4.1064,-176166.37554,-176160.58025,-176169.73711,1416.84847,1416.96599,4017.54138,0.00099
c180-D2_R_E_48166531,180,D2,-5.2032,-3.9459,-186530.19304,-186524.25742,-186533.40691,1405.59813,1602.50877,4177.32745,1e-05
c180-D5d_E_29159873,180,D5d,-5.026,-4.0989,-186529.93313,-186524.17958,-186533.30626,1466.50727,1466.57405,4485.71934,6e-05
c180-Ih_E_29172420,180,Ih,-6.1224,-3.8284,-186541.85697,-186534.97414,-186544.92683,2027.76907,2027.76944,2027.77213,7e-05
c186-D3h_E_29189429,186,D3h,-5.1783,-3.9127,-192748.88341,-192742.99031,-192752.07807,1530.75689,1531.12907,4626.41357,2e-05
c190-D5h_E_48178286,190,D5h,-5.2088,-3.8681,-196893.58014,-196887.66318,-196896.7424,1548.56095,1548.65564,5065.94064,0.00123
c192-D2_R_E_29174313,192,D2,-5.1499,-3.9686,-198966.91425,-198961.05442,-198970.17304,1567.90108,1623.65141,4787.1207,0.0001
c200-D5d_E_48166551,200,D5d,-4.9935,-4.0892,-207256.73526,-207251.05053,-207260.13759,1635.82638,1635.97507,5688.36067,3e-05
c204-D2_R_E_29189638,204,D2,-5.1028,-3.9937,-211403.22617,-211397.43449,-211406.53089,1614.73506,1758.84433,5451.42801,7e-05
c204-D3d_E_29159760,204,D3d,-5.1118,-3.9401,-211403.39371,-211397.59951,-211406.64803,1665.93814,1666.3276,5638.9679,6e-05
c210-D5h_E_29188352,210,D5h,-4.9214,-4.1425,-217620.39758,-217614.80347,-217623.86842,1689.30129,1689.3994,6264.38502,0.00139
c216-D2_R_E_29188069,216,D2,-5.0628,-4.0009,-223839.65354,-223833.92139,-223842.985,1689.30184,1866.11327,6163.32926,0.0001
c220-D5d_E_29339303,220,D5d,-5.0871,-3.9401,-227983.43616,-227977.69287,-227986.72164,1768.73787,1768.87978,6970.97768,5e-05
c222-D3h_E_29188087,222,D3h,-5.0549,-3.9493,-230057.89698,-230052.18875,-230061.18932,1800.73226,1801.10106,6778.50143,6e-05
c228-D2_R_E_29236465,228,D2,-5.0245,-4.0176,-236276.11951,-236270.44375,-236279.48557,1862.31053,1874.64114,6936.41154,0.00023
c230-D5h_E_48179348,230,D5h,-4.9526,-4.0767,-238347.47429,-238341.87889,-238350.91206,1855.05008,1855.27802,7726.70652,0.00116
c240-D2_R_E_48179349,240,D2,-4.9917,-4.034,-248712.46984,-248706.84394,-248715.86926,1876.66713,2041.68477,7762.33792,0.00016
c240-D3d_E_48183308,240,D3d,-5.0061,-3.9671,-248712.3978,-248706.76467,-248715.73407,1935.27694,1935.73576,8049.69973,0.00019
c240-D5d_E_48166582,240,D5d,-4.8419,-4.1764,-248710.67312,-248705.20423,-248714.22311,1911.18984,1911.33551,8419.51239,0.00019
c240-Ih_E_29237293,240,Ih,-5.7957,-3.7936,-248731.5633,-248725.09442,-248734.68276,2902.60867,2902.61156,2902.61167,5e-05
c250-D5h_E_48203159,250,D5h,-4.9906,-3.9942,-259074.25887,-259068.655,-259077.6408,1989.90175,1990.0597,9264.43489,0.00129
c252-D2_R_E_29429725,252,D2,-4.9631,-4.0444,-261148.06024,-261142.48047,-261151.48752,1971.45733,2126.19643,8646.31496,6e-05
c258-D3h_E_29254379,258,D3h,-4.9634,-3.9753,-267366.94783,-267361.38122,-267370.316,2069.62856,2069.98608,9457.63334,0.00017
