name,natoms,pt_group,homo,lumo,En,Eca,Ean,axx,ayy,azz,dipole
c20-Ih_E_29110848,20,Ih,-4.6945,-3.9371,-20700.05207,-20693.12433,-20701.81499,179.17187,185.87508,189.75285,0.0
c60-Ih_E_29097785,60,Ih,-5.6431,-3.9795,-62146.8962,-62139.73009,-62149.36808,560.40946,560.40968,560.40977,1e-05
c70-D5h_E_29108494,70,D5h,-5.6261,-3.9215,-72507.62723,-72500.56322,-72510.12599,668.75685,668.79905,746.67919,0.00081
c72-D6d_E_29110857,72,D6d,-5.4999,-4.0437,-74578.04354,-74571.11398,-74580.68273,593.52514,756.19869,756.19871,1e-05
c78-D3h-4_E_29110892,78,D3h,-5.3602,-3.9051,-80794.32334,-80787.58823,-80796.86436,716.48597,716.50507,874.33991,4e-05
c80-D5d_E_29109141,80,D5d,-4.7148,-4.5585,-82866.78494,-82860.69612,-82869.99052,726.27932,726.29423,939.49966,1e-05
c80-Ih_E_29110902,80,Ih,-5.016,-4.8943,-82866.30081,-82859.9235,-82869.84373,871.53698,878.38808,890.44825,1e-05
c84-D2-1_R_E_29112043,84,D2,-5.3114,-3.9411,-87009.97512,-87003.3217,-87012.59548,691.1497,859.94106,984.1183,1e-05
c90-D5h_E_29109167,90,D5h,-5.0488,-4.0042,-93227.35925,-93220.99611,-93230.07088,800.24466,800.2617,1157.20338,0.00093
c96-D2_R_E_29112064,96,D2,-5.1937,-3.9419,-99443.35483,-99436.89049,-99446.03512,849.04409,890.34802,1246.64375,0.0
c96-D3d_E_29110962,96,D3d,-5.1497,-3.9585,-99443.30656,-99436.89142,-99446.00353,860.28999,860.43446,1275.54451,0.0
c100-D5d_E_29109177,100,D5d,-5.2554,-3.8411,-103587.4527,-103580.9505,-103590.04999,897.4501,897.4953,1431.29169,2e-05
c108-D2_R_E_29118908,108,D2,-5.0618,-3.9355,-111873.99588,-111867.72415,-111876.73674,858.37645,1075.57148,1569.71695,5e-05
c110-D5h_E_29118970,110,D5h,-4.701,-4.2508,-113947.03847,-113941.13955,-113950.09183,991.16138,991.22728,1726.27912,0.00042
c114-D3h_E_29119008,114,D3h,-4.9915,-3.9178,-118091.22395,-118085.05491,-118093.96583,1002.92484,1003.19489,1773.04126,0.00015
c120-D2_R_E_29118910,120,D2,-4.9745,-3.9369,-124306.72084,-124300.58929,-124309.50653,988.59237,1140.67143,1912.66044,0.00013
c120-D5d_E_29130602,120,D5d,-4.7707,-4.0859,-124307.29349,-124301.36274,-124310.23262,1035.84748,1035.90218,2018.49691,2e-05
c130-D5h_E_29118974,130,D5h,-4.9852,-3.8687,-134667.42383,-134661.31826,-134670.18258,1125.39073,1125.46746,2389.65284,0.00102
c132-D2_R_E_29118912,132,D2,-4.8778,-3.9896,-136739.251,-136733.26336,-136742.13664,1114.51947,1203.79827,2303.79893,6e-05
c132-D3d_E_29119009,132,D3d,-4.8667,-3.9789,-136739.45166,-136733.48028,-136742.32844,1144.26341,1144.58839,2367.5754,1e-05
c140-D5d_E_29158337,140,D5d,-4.6151,-4.1778,-145027.17288,-145021.48174,-145030.276,1216.14308,1216.25992,2791.5403,1e-05
c144-D2_R_E_29118914,144,D2,-4.8132,-3.9737,-149170.64532,-149164.76499,-149173.55699,1142.5193,1363.18268,2749.6416,3e-05
c150-D3h_E_29119010,150,D3h,-4.7755,-3.9585,-155387.66385,-155381.84598,-155390.58185,1283.95991,1284.30975,3068.76817,0.00012
c150-D5h_E_29118977,150,D5h,-4.6081,-4.1276,-155387.26768,-155381.61363,-155390.35845,1266.42493,1266.52581,3179.72857,0.00133
c156-D2_R_E_29120714,156,D2,-4.7569,-3.9905,-161603.42457,-161597.63883,-161606.39094,1296.62115,1399.91315,3229.38231,0.00017
c160-D5d_E_29120832,160,D5d,-4.7953,-3.8841,-165747.41847,-165741.6079,-165750.29633,1351.41229,1351.51134,3662.5095,0.00015
c168-D2_R_E_29120876,168,D2,-4.6991,-4.019,-174035.52653,-174029.83377,-174038.55634,1379.46247,1503.23767,3769.28651,3e-05
c168-D3d_E_29120897,168,D3d,-4.7014,-3.9902,-174035.824,-174030.13414,-174038.82779,1422.87062,1423.247,3884.31954,0.0
c170-D5h_E_29159151,170,D5h,-4.563,-4.1327,-176107.26044,-176101.71571,-176110.41313,1440.1039,1440.22865,4187.80637,0.00089
c180-D2_R_E_29125545,180,D2,-4.6589,-4.0133,-186467.52347,-186461.90319,-186470.57944,1433.47216,1635.41835,4355.14753,3e-05
c180-D5d_E_29159816,180,D5d,-4.5005,-4.1566,-186467.25421,-186461.79665,-186470.46032,1494.5559,1494.62671,4682.36351,1e-05
c180-Ih_E_29172425,180,Ih,-5.4068,-3.941,-186478.35413,-186471.96144,-186481.31124,2083.7408,2083.74099,2083.74187,1e-05
c186-D3h_E_29121810,186,D3h,-4.6412,-3.9797,-192684.03215,-192678.44999,-192687.07259,1561.05107,1561.43678,4819.80239,0.00014
c190-D5h_E_29159928,190,D5h,-4.6652,-3.9469,-196827.39481,-196821.79736,-196830.41621,1576.72095,1576.82308,5291.20166,0.00111
c192-D2_R_E_29126177,192,D2,-4.6181,-4.0264,-198899.97677,-198894.42696,-198903.07517,1599.57528,1656.35045,4995.81391,5e-05
c200-D5d_E_29158566,200,D5d,-4.5261,-4.1017,-207187.30225,-207181.87033,-207190.50005,1663.6189,1663.78001,5946.70007,1e-05
c204-D2_R_E_29126320,204,D2,-4.5826,-4.0425,-211332.07057,-211326.58391,-211335.21233,1646.58179,1794.81071,5694.14833,3e-05
c204-D3d_E_29126369,204,D3d,-4.5916,-3.997,-211332.21054,-211326.72011,-211335.31026,1698.85917,1699.26288,5882.66877,3e-05
c210-D5h_E_29164658,210,D5h,-4.4233,-4.1767,-217547.18897,-217541.88063,-217550.48559,1721.29957,1721.40402,6555.24602,0.00137
c216-D2_R_E_29162600,216,D2,-4.5528,-4.0406,-223764.27059,-223758.83927,-223767.43586,1722.60549,1903.96041,6444.78163,6e-05
c220-D5d_E_29172233,220,D5d,-4.5701,-3.9927,-227907.39095,-227901.95644,-227910.52424,1801.66692,1801.82263,7300.98926,2e-05
c222-D3h_E_29161835,222,D3h,-4.5497,-3.9923,-229980.38008,-229974.96931,-229983.51255,1836.17993,1836.56483,7086.20789,0.00012
c228-D2_R_E_29172211,228,D2,-4.5241,-4.0498,-236196.51057,-236191.13186,-236199.70864,1899.69593,1912.00091,7258.99362,8e-05
c230-D5h_E_29162067,230,D5h,-4.4986,-4.0784,-238267.32623,-238261.98467,-238270.5636,1886.91593,1887.15872,8097.13731,0.00108
c240-D2_R_E_29172284,240,D2,-4.4997,-4.0593,-248628.67482,-248623.34283,-248631.90445,1913.44663,2083.17121,8129.9611,7e-05
c240-D3d_E_29164693,240,D3d,-4.5138,-4.0023,-248628.57116,-248623.2303,-248631.74749,1973.36573,1973.83725,8424.80289,0.00016
c240-D5d_E_29164702,240,D5d,-4.3648,-4.1912,-248627.18355,-248621.99355,-248630.55337,1947.25265,1947.40963,8829.81812,5e-05
c240-Ih_E_29210485,240,Ih,-5.1244,-3.8798,-248646.47037,-248640.47526,-248649.47801,2990.9074,2990.90781,2990.90787,2e-05
c250-D5h_E_29194890,250,D5h,-4.4969,-4.0273,-258987.36451,-258982.05988,-258990.58806,2026.32556,2026.50081,9722.04105,0.00122
c252-D2_R_E_29194957,252,D2,-4.4768,-4.0599,-261060.90852,-261055.62033,-261064.15957,2011.26255,2170.12536,9063.92399,2e-05
c258-D3h_E_29203354,258,D3h,-4.4829,-3.9997,-267276.77291,-267271.49398,-267279.97742,2110.33553,2110.71116,9908.58326,8e-05
c260-D5d_E_29194908,260,D5d,-4.4767,-4.0604,-269347.33184,-269342.0653,-269350.60433,2110.23392,2110.46144,10666.83503,2e-05
c264-D2_R_E_29204334,264,D2,-4.4559,-4.0666,-273493.10108,-273487.85357,-273496.37834,2168.02541,2197.65472,10062.91388,3e-05
c270-D5h_E_29204466,270,D5h,-4.3079,-4.1981,-279707.13047,-279702.04864,-279710.55641,2196.71578,2196.97721,11663.61129,0.00099
c276-D2_R_E_29631116,276,D2,-4.437,-4.0724,-285925.30964,-285920.09958,-285928.61102,2182.76996,2367.54474,11123.74986,3e-05
c276-D3d_E_29631166,276,D3d,-4.4556,-4.0058,-285924.96239,-285919.73905,-285928.20103,2247.15784,2247.61705,11545.02966,1e-05
c280-D5d_E_29631240,280,D5d,-4.4389,-4.0543,-290067.34243,-290062.14417,-290070.64051,2250.74136,2250.94786,12581.00647,4e-05
c288-D2_R_E_29631420,288,D2,-4.4191,-4.0741,-298357.50465,-298352.33006,-298360.82515,2301.86069,2432.09124,12254.52554,3e-05
c290-D5h_E_29670245,290,D5h,-4.459,-4.0457,-300427.35858,-300422.15536,-300430.66196,2333.52575,2333.77802,13683.12472,0.00115
c294-D3h_E_29631609,294,D3h,-4.4316,-4.0047,-304573.14667,-304567.97324,-304576.40987,2383.82785,2384.35557,13338.87373,0.00024
c300-D2_R_E_29670410,300,D2,-4.4033,-4.0786,-310789.71046,-310784.56826,-310793.05197,2423.71755,2494.82374,13452.58657,3e-05
c300-D5d_E_29670483,300,D5d,-4.3077,-4.1699,-310787.19395,-310782.15584,-310790.63512,2419.02452,2419.33041,14839.97818,4e-05
c310-D5h_E_29721787,310,D5h,-4.3917,-4.0758,-321147.33428,-321142.22515,-321150.69511,2474.99497,2475.21885,15904.15795,0.00125
c312-D2_R_E_29750470,312,D2,-4.3884,-4.0828,-323221.90819,-323216.79658,-323225.26948,2454.73587,2647.64097,14719.40959,4e-05
c312-D3d_E_29749528,312,D3d,-4.4103,-4.0077,-323221.29558,-323216.16749,-323224.58554,2520.42949,2520.85695,15294.08027,0.00014
c320-D5d_E_29749490,320,D5d,-4.4443,-4.0335,-331507.3729,-331502.22413,-331510.70376,2556.8142,2557.10386,17171.89391,2e-05
c320-Ih_E_29773936,320,Ih,-4.4105,-4.3959,-331534.36047,-331529.17589,-331537.98963,4920.58487,4961.73101,4999.32759,0.00011
