Mode  7:  159.016 : 0.5 E2'
Mode  8:  159.016 : 0.5 E2'
Mode  9:  230.740 : 0.5 E1''
Mode 10:  230.740 : 0.5 E1''
Mode 11:  250.445 : 0.5 E2'
Mode 12:  250.445 : 0.5 E2'
Mode 13:  250.529 : 0.5 E1'
Mode 14:  250.529 : 0.5 E1'
Mode 15:  254.072 : A1'
Mode 16:  255.347 : A1''
Mode 17:  264.661 : 0.5 E2''
Mode 18:  264.661 : 0.5 E2''
Mode 19:  304.890 : A2''
Mode 20:  336.599 : 0.5 E1'
Mode 21:  336.599 : 0.5 E1'
Mode 22:  337.625 : 0.5 E2''
Mode 23:  337.625 : 0.5 E2''
Mode 24:  340.075 : A1'
Mode 25:  351.071 : 0.5 E2'
Mode 26:  351.071 : 0.5 E2'
Mode 27:  360.730 : 0.5 E1''
Mode 28:  360.730 : 0.5 E1''
Mode 29:  378.891 : 0.5 E1'
Mode 30:  378.891 : 0.5 E1'
Mode 31:  396.677 : 0.5 E2''
Mode 32:  396.677 : 0.5 E2''
Mode 33:  401.193 : A1'
Mode 34:  410.984 : A2''
Mode 35:  424.884 : 0.5 E1'
Mode 36:  424.884 : 0.5 E1'
Mode 37:  425.173 : 0.5 E2'
Mode 38:  425.173 : 0.5 E2'
Mode 39:  429.492 : 0.5 E1''
Mode 40:  429.492 : 0.5 E1''
Mode 41:  457.364 : A2'
Mode 42:  457.774 : 0.5 E2''
Mode 43:  457.774 : 0.5 E2''
Mode 44:  458.577 : 0.5 E1''
Mode 45:  458.577 : 0.5 E1''
Mode 46:  469.931 : A2'
Mode 47:  473.575 : A1'
Mode 48:  490.993 : 0.5 E2'
Mode 49:  490.993 : 0.5 E2'
Mode 50:  495.658 : A1''
Mode 51:  497.828 : 0.5 E1'
Mode 52:  497.828 : 0.5 E1'
Mode 53:  506.735 : 0.5 E1''
Mode 54:  506.735 : 0.5 E1''
Mode 55:  512.389 : 0.5 E2''
Mode 56:  512.389 : 0.5 E2''
Mode 57:  514.245 : 0.5 E1'
Mode 58:  514.245 : 0.5 E1'
Mode 59:  539.166 : 0.5 E2'
Mode 60:  539.166 : 0.5 E2'
Mode 61:  540.579 : A2''
Mode 62:  549.932 : A2''
Mode 63:  550.238 : 0.5 E1'
Mode 64:  550.238 : 0.5 E1'
Mode 65:  552.298 : A2'
Mode 66:  556.739 : 0.5 E2''
Mode 67:  556.739 : 0.5 E2''
Mode 68:  568.164 : 0.5 E1''
Mode 69:  568.164 : 0.5 E1''
Mode 70:  575.682 : A1''
Mode 71:  580.312 : 0.5 E1'
Mode 72:  580.312 : 0.5 E1'
Mode 73:  587.082 : 0.5 E2''
Mode 74:  587.082 : 0.5 E2''
Mode 75:  627.382 : A1'
Mode 76:  636.245 : A1'
Mode 77:  637.891 : 0.5 E1''
Mode 78:  637.891 : 0.5 E1''
Mode 79:  642.409 : 0.5 E2'
Mode 80:  642.409 : 0.5 E2'
Mode 81:  648.736 : A1''
Mode 82:  657.739 : A2'
Mode 83:  666.762 : 0.5 E2'
Mode 84:  666.762 : 0.5 E2'
Mode 85:  673.002 : 0.5 E1''
Mode 86:  673.002 : 0.5 E1''
Mode 87:  679.398 : 0.5 E1''
Mode 88:  679.398 : 0.5 E1''
Mode 89:  683.257 : 0.5 E1'
Mode 90:  683.257 : 0.5 E1'
Mode 91:  692.957 : 0.5 E2''
Mode 92:  692.957 : 0.5 E2''
Mode 93:  703.239 : 0.5 E1''
Mode 94:  703.239 : 0.5 E1''
Mode 95:  705.943 : 0.5 E2'
Mode 96:  705.943 : 0.5 E2'
Mode 97:  712.460 : 0.5 E2''
Mode 98:  712.460 : 0.5 E2''
Mode 99:  714.031 : A2'
Mode 100:  716.343 : 0.5 E2'
Mode 101:  716.343 : 0.5 E2'
Mode 102:  717.717 : 0.5 E1'
Mode 103:  717.717 : 0.5 E1'
Mode 104:  725.876 : A2''
Mode 105:  726.241 : A1''
Mode 106:  727.141 : A1'
Mode 107:  730.583 : 0.5 E2'
Mode 108:  730.583 : 0.5 E2'
Mode 109:  730.642 : 0.5 E2''
Mode 110:  730.642 : 0.5 E2''
Mode 111:  735.929 : 0.5 E2'
Mode 112:  735.929 : 0.5 E2'
Mode 113:  743.827 : 0.5 E2''
Mode 114:  743.827 : 0.5 E2''
Mode 115:  744.944 : 0.5 E1'
Mode 116:  744.944 : 0.5 E1'
Mode 117:  746.877 : 0.5 E1''
Mode 118:  746.877 : 0.5 E1''
Mode 119:  752.946 : A1''
Mode 120:  759.731 : 0.5 E2''
Mode 121:  759.731 : 0.5 E2''
Mode 122:  761.896 : 0.5 E2'
Mode 123:  761.896 : 0.5 E2'
Mode 124:  763.752 : 0.5 E1''
Mode 125:  763.752 : 0.5 E1''
Mode 126:  769.405 : A2'
Mode 127:  772.233 : 0.5 E1'
Mode 128:  772.233 : 0.5 E1'
Mode 129:  779.973 : 0.5 E1'
Mode 130:  779.973 : 0.5 E1'
Mode 131:  786.084 : 0.5 E2''
Mode 132:  786.084 : 0.5 E2''
Mode 133:  787.494 : A1''
Mode 134:  789.032 : 0.5 E2'
Mode 135:  789.032 : 0.5 E2'
Mode 136:  798.993 : 0.5 E2'
Mode 137:  798.993 : 0.5 E2'
Mode 138:  806.668 : A2''
Mode 139:  822.771 : 0.5 E1'
Mode 140:  822.771 : 0.5 E1'
Mode 141:  842.209 : 0.5 E1'
Mode 142:  842.209 : 0.5 E1'
Mode 143:  863.641 : 0.5 E2''
Mode 144:  863.641 : 0.5 E2''
Mode 145:  869.774 : 0.5 E1''
Mode 146:  869.774 : 0.5 E1''
Mode 147:  892.741 : A2'
Mode 148:  900.906 : A2'
Mode 149:  936.532 : 0.5 E2'
Mode 150:  936.532 : 0.5 E2'
Mode 151:  970.820 : A1'
Mode 152:  973.550 : 0.5 E1''
Mode 153:  973.550 : 0.5 E1''
Mode 154:  977.668 : A1''
Mode 155: 1005.609 : 0.5 E2'
Mode 156: 1005.609 : 0.5 E2'
Mode 157: 1029.084 : 0.5 E2''
Mode 158: 1029.084 : 0.5 E2''
Mode 159: 1081.851 : A2''
Mode 160: 1106.703 : 0.5 E1'
Mode 161: 1106.703 : 0.5 E1'
Mode 162: 1111.371 : 0.5 E1'
Mode 163: 1111.371 : 0.5 E1'
Mode 164: 1112.994 : 0.5 E2''
