Sept. 22, 2024   14:12:14
Linear Sweep Voltammetry
File: c:\users\19156\desktop\rawraw\orr_all\orr_pt_c_16000 rpm_rde.txt
Data Source:  Experiment
Instrument Model:  CHI440B
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = -1
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Potential/V, Current/A

0.220, 9.540e-7
0.220, 9.540e-7
0.170, 9.540e-7
0.140, 9.540e-7
0.120, 9.540e-7
0.100, 9.540e-7
0.070, 9.540e-7
0.069, 9.540e-7
0.068, 9.540e-7
0.067, 8.130e-7
0.066, 7.040e-7
0.065, 4.170e-7
0.064, 2.120e-7
0.063, 1.240e-7
0.062, -1.640e-7
0.061, -3.870e-7
0.060, -5.130e-7
0.059, -7.570e-7
0.058, -1.070e-6
0.057, -1.140e-6
0.056, -1.420e-6
0.055, -1.730e-6
0.054, -1.880e-6
0.053, -2.130e-6
0.052, -2.480e-6
0.051, -2.680e-6
0.050, -2.960e-6
0.049, -3.300e-6
0.048, -3.530e-6
0.047, -3.730e-6
0.046, -4.000e-6
0.045, -4.340e-6
0.044, -4.500e-6
0.043, -4.910e-6
0.042, -5.300e-6
0.041, -5.500e-6
0.040, -5.830e-6
0.039, -6.300e-6
0.038, -6.560e-6
0.037, -6.850e-6
0.036, -7.410e-6
0.035, -7.730e-6
0.034, -8.030e-6
0.033, -8.560e-6
0.032, -8.880e-6
0.031, -9.170e-6
0.030, -9.700e-6
0.029, -1.020e-5
0.028, -1.060e-5
0.027, -1.100e-5
0.026, -1.160e-5
0.025, -1.210e-5
0.024, -1.260e-5
0.023, -1.320e-5
0.022, -1.360e-5
0.021, -1.420e-5
0.020, -1.490e-5
0.019, -1.540e-5
0.018, -1.580e-5
0.017, -1.650e-5
0.016, -1.710e-5
0.015, -1.760e-5
0.014, -1.840e-5
0.013, -1.910e-5
0.012, -1.970e-5
0.011, -2.040e-5
0.010, -2.120e-5
0.009, -2.180e-5
0.008, -2.260e-5
0.007, -2.350e-5
0.006, -2.420e-5
0.005, -2.500e-5
0.004, -2.590e-5
0.003, -2.670e-5
0.002, -2.750e-5
0.001, -2.860e-5
0.000, -2.940e-5
-0.001, -3.040e-5
-0.002, -3.140e-5
-0.003, -3.250e-5
-0.004, -3.330e-5
-0.005, -3.450e-5
-0.006, -3.560e-5
-0.007, -3.650e-5
-0.008, -3.760e-5
-0.009, -3.890e-5
-0.010, -4.000e-5
-0.011, -4.120e-5
-0.012, -4.250e-5
-0.013, -4.380e-5
-0.014, -4.500e-5
-0.015, -4.630e-5
-0.016, -4.780e-5
-0.017, -4.910e-5
-0.018, -5.050e-5
-0.019, -5.200e-5
-0.020, -5.340e-5
-0.021, -5.490e-5
-0.022, -5.660e-5
-0.023, -5.800e-5
-0.024, -5.970e-5
-0.025, -6.150e-5
-0.026, -6.310e-5
-0.027, -6.480e-5
-0.028, -6.670e-5
-0.029, -6.840e-5
-0.030, -7.020e-5
-0.031, -7.220e-5
-0.032, -7.410e-5
-0.033, -7.580e-5
-0.034, -7.790e-5
-0.035, -8.000e-5
-0.036, -8.190e-5
-0.037, -8.400e-5
-0.038, -8.630e-5
-0.039, -8.850e-5
-0.040, -9.050e-5
-0.041, -9.290e-5
-0.042, -9.510e-5
-0.043, -9.740e-5
-0.044, -9.990e-5
-0.045, -1.020e-4
-0.046, -1.050e-4
-0.047, -1.070e-4
-0.048, -1.100e-4
-0.049, -1.120e-4
-0.050, -1.150e-4
-0.051, -1.170e-4
-0.052, -1.200e-4
-0.053, -1.230e-4
-0.054, -1.250e-4
-0.055, -1.280e-4
-0.056, -1.310e-4
-0.057, -1.340e-4
-0.058, -1.370e-4
-0.059, -1.390e-4
-0.060, -1.420e-4
-0.061, -1.450e-4
-0.062, -1.480e-4
-0.063, -1.510e-4
-0.064, -1.540e-4
-0.065, -1.570e-4
-0.066, -1.600e-4
-0.067, -1.630e-4
-0.068, -1.660e-4
-0.069, -1.690e-4
-0.070, -1.720e-4
-0.071, -1.750e-4
-0.072, -1.780e-4
