Aug. 1, 2025   17:12:10
Amperometric i-t Curve
File: c:\users\19156\desktop\rawraw\5c\external source 2\trans_2_150k.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0
Sample Interval (s) = 2.4
Run Time (sec) = 120
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6

Results:

Channel 1:

Time/sec, Current/A

0.000e+0, -1.694e-11
2.400e+0, -1.634e-11
4.800e+0, -1.596e-11
7.200e+0, -1.579e-11
9.600e+0, -1.593e-11
1.200e+1, -1.617e-11
1.440e+1, -1.638e-11
1.680e+1, -1.652e-11
1.920e+1, -1.660e-11
2.160e+1, -1.668e-11
2.400e+1, -1.679e-11
2.640e+1, -1.679e-11
2.880e+1, -1.668e-11
3.120e+1, -1.651e-11
3.360e+1, -1.632e-11
3.600e+1, -1.611e-11
3.840e+1, -1.587e-11
4.080e+1, -1.547e-11
4.320e+1, -1.492e-11
4.560e+1, -1.436e-11
4.800e+1, -1.396e-11
5.040e+1, -1.379e-11
5.280e+1, -1.387e-11
5.520e+1, -1.412e-11
5.760e+1, -1.443e-11
6.000e+1, -1.486e-11
6.240e+1, -1.542e-11
6.480e+1, -1.606e-11
6.720e+1, -1.678e-11
6.960e+1, -1.757e-11
7.200e+1, -1.846e-11
7.440e+1, -1.959e-11
7.680e+1, -2.102e-11
7.920e+1, -2.273e-11
8.160e+1, -2.476e-11
8.400e+1, -2.714e-11
8.640e+1, -2.996e-11
8.880e+1, -3.345e-11
9.120e+1, -3.788e-11
9.360e+1, -4.355e-11
9.600e+1, -5.067e-11
9.840e+1, -5.938e-11
1.008e+2, -6.987e-11
1.032e+2, -8.231e-11
1.056e+2, -9.984e-11
1.080e+2, -1.195e-10
1.104e+2, -1.424e-10
1.128e+2, -1.697e-10
1.152e+2, -2.040e-10
1.176e+2, -2.439e-10
1.200e+2, -2.895e-10
