Sept. 4, 2025   10:12:00
Tafel Plot
File: c:\users\19156\desktop\10_dark.txt
Data Source:  Experiment
Instrument Model:  CHI760F
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.5
Segment = 1
Hold Time at Ef (sec) = 0
Scan Rate (V/s) = 0.01
Quiet Time (sec) = 2

Potential/V, Current/A, log(i/A)

0.500, 1.970e-5, -4.706e+0
0.499, 1.950e-5, -4.710e+0
0.498, 1.930e-5, -4.714e+0
0.497, 1.910e-5, -4.719e+0
0.496, 1.890e-5, -4.724e+0
0.495, 1.870e-5, -4.728e+0
0.494, 1.850e-5, -4.733e+0
0.493, 1.830e-5, -4.738e+0
0.492, 1.800e-5, -4.745e+0
0.491, 1.780e-5, -4.750e+0
0.490, 1.760e-5, -4.754e+0
0.489, 1.740e-5, -4.759e+0
0.488, 1.720e-5, -4.764e+0
0.487, 1.700e-5, -4.770e+0
0.486, 1.680e-5, -4.775e+0
0.485, 1.660e-5, -4.780e+0
0.484, 1.640e-5, -4.785e+0
0.483, 1.620e-5, -4.790e+0
0.482, 1.610e-5, -4.793e+0
0.481, 1.590e-5, -4.799e+0
0.480, 1.570e-5, -4.804e+0
0.479, 1.560e-5, -4.807e+0
0.478, 1.540e-5, -4.812e+0
0.477, 1.520e-5, -4.818e+0
0.476, 1.510e-5, -4.821e+0
0.475, 1.490e-5, -4.827e+0
0.474, 1.480e-5, -4.830e+0
0.473, 1.460e-5, -4.836e+0
0.472, 1.450e-5, -4.839e+0
0.471, 1.430e-5, -4.845e+0
0.470, 1.420e-5, -4.848e+0
0.469, 1.410e-5, -4.851e+0
0.468, 1.390e-5, -4.857e+0
0.467, 1.380e-5, -4.860e+0
0.466, 1.360e-5, -4.866e+0
0.465, 1.350e-5, -4.870e+0
0.464, 1.340e-5, -4.873e+0
0.463, 1.320e-5, -4.879e+0
0.462, 1.310e-5, -4.883e+0
0.461, 1.300e-5, -4.886e+0
0.460, 1.280e-5, -4.893e+0
0.459, 1.270e-5, -4.896e+0
0.458, 1.260e-5, -4.900e+0
0.457, 1.250e-5, -4.903e+0
0.456, 1.230e-5, -4.910e+0
0.455, 1.220e-5, -4.914e+0
0.454, 1.210e-5, -4.917e+0
0.453, 1.200e-5, -4.921e+0
0.452, 1.190e-5, -4.924e+0
0.451, 1.170e-5, -4.932e+0
0.450, 1.160e-5, -4.936e+0
0.449, 1.150e-5, -4.939e+0
0.448, 1.140e-5, -4.943e+0
0.447, 1.130e-5, -4.947e+0
0.446, 1.120e-5, -4.951e+0
0.445, 1.110e-5, -4.955e+0
0.444, 1.100e-5, -4.959e+0
0.443, 1.090e-5, -4.963e+0
0.442, 1.080e-5, -4.967e+0
0.441, 1.070e-5, -4.971e+0
0.440, 1.060e-5, -4.975e+0
0.439, 1.050e-5, -4.979e+0
0.438, 1.030e-5, -4.987e+0
0.437, 1.020e-5, -4.991e+0
0.436, 1.020e-5, -4.991e+0
0.435, 1.010e-5, -4.996e+0
0.434, 9.960e-6, -5.002e+0
0.433, 9.860e-6, -5.006e+0
0.432, 9.770e-6, -5.010e+0
0.431, 9.670e-6, -5.015e+0
0.430, 9.580e-6, -5.019e+0
0.429, 9.490e-6, -5.023e+0
0.428, 9.400e-6, -5.027e+0
0.427, 9.320e-6, -5.031e+0
0.426, 9.220e-6, -5.035e+0
0.425, 9.130e-6, -5.040e+0
0.424, 9.040e-6, -5.044e+0
0.423, 8.950e-6, -5.048e+0
0.422, 8.870e-6, -5.052e+0
0.421, 8.790e-6, -5.056e+0
0.420, 8.710e-6, -5.060e+0
0.419, 8.620e-6, -5.064e+0
0.418, 8.540e-6, -5.069e+0
0.417, 8.460e-6, -5.073e+0
0.416, 8.390e-6, -5.076e+0
0.415, 8.310e-6, -5.080e+0
0.414, 8.230e-6, -5.085e+0
0.413, 8.140e-6, -5.089e+0
0.412, 8.060e-6, -5.094e+0
0.411, 7.990e-6, -5.097e+0
0.410, 7.920e-6, -5.101e+0
0.409, 7.850e-6, -5.105e+0
0.408, 7.770e-6, -5.110e+0
0.407, 7.690e-6, -5.114e+0
0.406, 7.620e-6, -5.118e+0
0.405, 7.540e-6, -5.123e+0
0.404, 7.480e-6, -5.126e+0
0.403, 7.410e-6, -5.130e+0
0.402, 7.330e-6, -5.135e+0
0.401, 7.260e-6, -5.139e+0
0.400, 7.200e-6, -5.143e+0
0.399, 7.130e-6, -5.147e+0
0.398, 7.070e-6, -5.151e+0
0.397, 7.010e-6, -5.154e+0
0.396, 6.940e-6, -5.159e+0
0.395, 6.880e-6, -5.162e+0
0.394, 6.810e-6, -5.167e+0
0.393, 6.740e-6, -5.171e+0
0.392, 6.680e-6, -5.175e+0
0.391, 6.620e-6, -5.179e+0
0.390, 6.560e-6, -5.183e+0
0.389, 6.500e-6, -5.187e+0
0.388, 6.430e-6, -5.192e+0
0.387, 6.380e-6, -5.195e+0
0.386, 6.320e-6, -5.199e+0
0.385, 6.270e-6, -5.203e+0
0.384, 6.210e-6, -5.207e+0
0.383, 6.150e-6, -5.211e+0
0.382, 6.090e-6, -5.215e+0
0.381, 6.030e-6, -5.220e+0
0.380, 5.980e-6, -5.223e+0
0.379, 5.920e-6, -5.228e+0
0.378, 5.870e-6, -5.231e+0
0.377, 5.820e-6, -5.235e+0
0.376, 5.770e-6, -5.239e+0
0.375, 5.720e-6, -5.243e+0
0.374, 5.670e-6, -5.246e+0
0.373, 5.610e-6, -5.251e+0
0.372, 5.560e-6, -5.255e+0
0.371, 5.510e-6, -5.259e+0
0.370, 5.470e-6, -5.262e+0
0.369, 5.420e-6, -5.266e+0
0.368, 5.370e-6, -5.270e+0
0.367, 5.320e-6, -5.274e+0
0.366, 5.270e-6, -5.278e+0
0.365, 5.230e-6, -5.281e+0
0.364, 5.170e-6, -5.287e+0
0.363, 5.130e-6, -5.290e+0
0.362, 5.090e-6, -5.293e+0
0.361, 5.040e-6, -5.298e+0
0.360, 5.000e-6, -5.301e+0
0.359, 4.950e-6, -5.305e+0
0.358, 4.900e-6, -5.310e+0
0.357, 4.860e-6, -5.313e+0
0.356, 4.820e-6, -5.317e+0
0.355, 4.770e-6, -5.321e+0
0.354, 4.730e-6, -5.325e+0
0.353, 4.680e-6, -5.330e+0
0.352, 4.650e-6, -5.333e+0
0.351, 4.610e-6, -5.336e+0
0.350, 4.560e-6, -5.341e+0
0.349, 4.520e-6, -5.345e+0
0.348, 4.480e-6, -5.349e+0
0.347, 4.440e-6, -5.353e+0
0.346, 4.400e-6, -5.357e+0
0.345, 4.360e-6, -5.361e+0
0.344, 4.330e-6, -5.364e+0
0.343, 4.280e-6, -5.369e+0
0.342, 4.240e-6, -5.373e+0
0.341, 4.200e-6, -5.377e+0
0.340, 4.160e-6, -5.381e+0
0.339, 4.130e-6, -5.384e+0
0.338, 4.100e-6, -5.387e+0
0.337, 4.060e-6, -5.391e+0
0.336, 4.030e-6, -5.395e+0
0.335, 3.990e-6, -5.399e+0
0.334, 3.960e-6, -5.402e+0
0.333, 3.930e-6, -5.406e+0
0.332, 3.890e-6, -5.410e+0
0.331, 3.850e-6, -5.415e+0
0.330, 3.820e-6, -5.418e+0
0.329, 3.790e-6, -5.421e+0
0.328, 3.760e-6, -5.425e+0
0.327, 3.720e-6, -5.429e+0
0.326, 3.690e-6, -5.433e+0
0.325, 3.660e-6, -5.437e+0
0.324, 3.620e-6, -5.441e+0
0.323, 3.600e-6, -5.444e+0
0.322, 3.560e-6, -5.449e+0
0.321, 3.530e-6, -5.452e+0
0.320, 3.490e-6, -5.457e+0
0.319, 3.470e-6, -5.460e+0
0.318, 3.440e-6, -5.463e+0
0.317, 3.400e-6, -5.469e+0
0.316, 3.370e-6, -5.472e+0
0.315, 3.350e-6, -5.475e+0
0.314, 3.320e-6, -5.479e+0
0.313, 3.290e-6, -5.483e+0
0.312, 3.270e-6, -5.485e+0
0.311, 3.230e-6, -5.491e+0
0.310, 3.210e-6, -5.493e+0
0.309, 3.180e-6, -5.498e+0
0.308, 3.140e-6, -5.503e+0
0.307, 3.120e-6, -5.506e+0
0.306, 3.100e-6, -5.509e+0
0.305, 3.060e-6, -5.514e+0
0.304, 3.050e-6, -5.516e+0
0.303, 3.020e-6, -5.520e+0
0.302, 2.990e-6, -5.524e+0
0.301, 2.960e-6, -5.529e+0
0.300, 2.940e-6, -5.532e+0
0.299, 2.920e-6, -5.535e+0
0.298, 2.890e-6, -5.539e+0
0.297, 2.870e-6, -5.542e+0
0.296, 2.850e-6, -5.545e+0
0.295, 2.830e-6, -5.548e+0
0.294, 2.800e-6, -5.553e+0
0.293, 2.770e-6, -5.558e+0
0.292, 2.750e-6, -5.561e+0
0.291, 2.730e-6, -5.564e+0
0.290, 2.700e-6, -5.569e+0
0.289, 2.680e-6, -5.572e+0
0.288, 2.660e-6, -5.575e+0
0.287, 2.630e-6, -5.580e+0
0.286, 2.610e-6, -5.583e+0
0.285, 2.590e-6, -5.587e+0
0.284, 2.570e-6, -5.590e+0
0.283, 2.540e-6, -5.595e+0
0.282, 2.520e-6, -5.599e+0
0.281, 2.500e-6, -5.602e+0
0.280, 2.480e-6, -5.606e+0
0.279, 2.450e-6, -5.611e+0
0.278, 2.430e-6, -5.614e+0
0.277, 2.410e-6, -5.618e+0
0.276, 2.390e-6, -5.622e+0
0.275, 2.370e-6, -5.625e+0
0.274, 2.350e-6, -5.629e+0
0.273, 2.330e-6, -5.633e+0
0.272, 2.310e-6, -5.636e+0
0.271, 2.290e-6, -5.640e+0
0.270, 2.280e-6, -5.642e+0
0.269, 2.260e-6, -5.646e+0
0.268, 2.230e-6, -5.652e+0
0.267, 2.210e-6, -5.656e+0
0.266, 2.200e-6, -5.658e+0
0.265, 2.180e-6, -5.662e+0
0.264, 2.160e-6, -5.666e+0
0.263, 2.140e-6, -5.670e+0
0.262, 2.130e-6, -5.672e+0
0.261, 2.110e-6, -5.676e+0
0.260, 2.080e-6, -5.682e+0
0.259, 2.080e-6, -5.682e+0
0.258, 2.060e-6, -5.686e+0
0.257, 2.040e-6, -5.690e+0
0.256, 2.020e-6, -5.695e+0
0.255, 2.010e-6, -5.697e+0
0.254, 1.990e-6, -5.701e+0
0.253, 1.970e-6, -5.706e+0
0.252, 1.950e-6, -5.710e+0
0.251, 1.940e-6, -5.712e+0
0.250, 1.920e-6, -5.717e+0
0.249, 1.900e-6, -5.721e+0
0.248, 1.890e-6, -5.724e+0
0.247, 1.870e-6, -5.728e+0
0.246, 1.860e-6, -5.730e+0
0.245, 1.840e-6, -5.735e+0
0.244, 1.830e-6, -5.738e+0
0.243, 1.820e-6, -5.740e+0
0.242, 1.790e-6, -5.747e+0
0.241, 1.780e-6, -5.750e+0
0.240, 1.770e-6, -5.752e+0
0.239, 1.750e-6, -5.757e+0
0.238, 1.740e-6, -5.759e+0
0.237, 1.720e-6, -5.764e+0
0.236, 1.710e-6, -5.767e+0
0.235, 1.690e-6, -5.772e+0
0.234, 1.680e-6, -5.775e+0
0.233, 1.670e-6, -5.777e+0
0.232, 1.650e-6, -5.783e+0
0.231, 1.640e-6, -5.785e+0
0.230, 1.630e-6, -5.788e+0
0.229, 1.620e-6, -5.790e+0
0.228, 1.600e-6, -5.796e+0
0.227, 1.590e-6, -5.799e+0
0.226, 1.580e-6, -5.801e+0
0.225, 1.560e-6, -5.807e+0
0.224, 1.550e-6, -5.810e+0
0.223, 1.540e-6, -5.812e+0
0.222, 1.520e-6, -5.818e+0
0.221, 1.520e-6, -5.818e+0
0.220, 1.510e-6, -5.821e+0
0.219, 1.490e-6, -5.827e+0
0.218, 1.480e-6, -5.830e+0
0.217, 1.460e-6, -5.836e+0
0.216, 1.460e-6, -5.836e+0
0.215, 1.440e-6, -5.842e+0
0.214, 1.420e-6, -5.848e+0
0.213, 1.410e-6, -5.851e+0
0.212, 1.400e-6, -5.854e+0
0.211, 1.400e-6, -5.854e+0
0.210, 1.380e-6, -5.860e+0
0.209, 1.370e-6, -5.863e+0
0.208, 1.360e-6, -5.866e+0
0.207, 1.350e-6, -5.870e+0
0.206, 1.340e-6, -5.873e+0
0.205, 1.330e-6, -5.876e+0
0.204, 1.320e-6, -5.879e+0
0.203, 1.310e-6, -5.883e+0
0.202, 1.300e-6, -5.886e+0
0.201, 1.290e-6, -5.889e+0
0.200, 1.280e-6, -5.893e+0
0.199, 1.270e-6, -5.896e+0
0.198, 1.250e-6, -5.903e+0
0.197, 1.250e-6, -5.903e+0
0.196, 1.240e-6, -5.907e+0
0.195, 1.230e-6, -5.910e+0
0.194, 1.220e-6, -5.914e+0
0.193, 1.210e-6, -5.917e+0
0.192, 1.200e-6, -5.921e+0
0.191, 1.190e-6, -5.924e+0
0.190, 1.170e-6, -5.932e+0
0.189, 1.170e-6, -5.932e+0
0.188, 1.150e-6, -5.939e+0
0.187, 1.150e-6, -5.939e+0
0.186, 1.140e-6, -5.943e+0
0.185, 1.130e-6, -5.947e+0
0.184, 1.110e-6, -5.955e+0
0.183, 1.110e-6, -5.955e+0
0.182, 1.100e-6, -5.959e+0
0.181, 1.090e-6, -5.963e+0
0.180, 1.080e-6, -5.967e+0
0.179, 1.070e-6, -5.971e+0
0.178, 1.060e-6, -5.975e+0
0.177, 1.050e-6, -5.979e+0
0.176, 1.050e-6, -5.979e+0
0.175, 1.040e-6, -5.983e+0
0.174, 1.030e-6, -5.987e+0
0.173, 1.020e-6, -5.991e+0
0.172, 1.010e-6, -5.996e+0
0.171, 1.020e-6, -5.991e+0
0.170, 1.000e-6, -6.000e+0
0.169, 9.880e-7, -6.005e+0
0.168, 9.850e-7, -6.007e+0
0.167, 9.720e-7, -6.012e+0
0.166, 9.670e-7, -6.015e+0
0.165, 9.610e-7, -6.017e+0
0.164, 9.510e-7, -6.022e+0
0.163, 9.420e-7, -6.026e+0
0.162, 9.300e-7, -6.032e+0
0.161, 9.200e-7, -6.036e+0
0.160, 9.170e-7, -6.038e+0
0.159, 9.070e-7, -6.042e+0
0.158, 9.000e-7, -6.046e+0
0.157, 8.960e-7, -6.048e+0
0.156, 8.830e-7, -6.054e+0
0.155, 8.750e-7, -6.058e+0
0.154, 8.720e-7, -6.059e+0
0.153, 8.580e-7, -6.067e+0
0.152, 8.480e-7, -6.072e+0
0.151, 8.350e-7, -6.078e+0
0.150, 8.280e-7, -6.082e+0
0.149, 8.280e-7, -6.082e+0
0.148, 8.200e-7, -6.086e+0
0.147, 8.140e-7, -6.089e+0
0.146, 8.030e-7, -6.095e+0
0.145, 7.940e-7, -6.100e+0
0.144, 7.880e-7, -6.103e+0
0.143, 7.790e-7, -6.108e+0
0.142, 7.710e-7, -6.113e+0
0.141, 7.640e-7, -6.117e+0
0.140, 7.600e-7, -6.119e+0
0.139, 7.460e-7, -6.127e+0
0.138, 7.390e-7, -6.131e+0
0.137, 7.340e-7, -6.134e+0
0.136, 7.330e-7, -6.135e+0
0.135, 7.210e-7, -6.142e+0
0.134, 7.170e-7, -6.144e+0
0.133, 7.100e-7, -6.149e+0
0.132, 6.980e-7, -6.156e+0
0.131, 6.910e-7, -6.161e+0
0.130, 6.830e-7, -6.166e+0
0.129, 6.770e-7, -6.169e+0
0.128, 6.750e-7, -6.171e+0
0.127, 6.630e-7, -6.178e+0
0.126, 6.580e-7, -6.182e+0
0.125, 6.510e-7, -6.186e+0
0.124, 6.430e-7, -6.192e+0
0.123, 6.370e-7, -6.196e+0
0.122, 6.270e-7, -6.203e+0
0.121, 6.240e-7, -6.205e+0
0.120, 6.170e-7, -6.210e+0
0.119, 6.110e-7, -6.214e+0
0.118, 6.070e-7, -6.217e+0
0.117, 6.040e-7, -6.219e+0
0.116, 5.890e-7, -6.230e+0
0.115, 5.820e-7, -6.235e+0
0.114, 5.720e-7, -6.243e+0
0.113, 5.750e-7, -6.240e+0
0.112, 5.680e-7, -6.246e+0
0.111, 5.570e-7, -6.254e+0
0.110, 5.520e-7, -6.258e+0
0.109, 5.470e-7, -6.262e+0
0.108, 5.430e-7, -6.265e+0
0.107, 5.310e-7, -6.275e+0
0.106, 5.270e-7, -6.278e+0
0.105, 5.220e-7, -6.282e+0
0.104, 5.220e-7, -6.282e+0
0.103, 5.100e-7, -6.292e+0
0.102, 5.000e-7, -6.301e+0
0.101, 4.910e-7, -6.309e+0
0.100, 4.860e-7, -6.313e+0
0.099, 4.780e-7, -6.321e+0
0.098, 4.690e-7, -6.329e+0
0.097, 4.630e-7, -6.334e+0
0.096, 4.550e-7, -6.342e+0
0.095, 4.520e-7, -6.345e+0
0.094, 4.410e-7, -6.356e+0
0.093, 4.370e-7, -6.360e+0
0.092, 4.290e-7, -6.368e+0
0.091, 4.260e-7, -6.371e+0
0.090, 4.210e-7, -6.376e+0
0.089, 4.170e-7, -6.380e+0
0.088, 4.080e-7, -6.389e+0
0.087, 4.020e-7, -6.396e+0
0.086, 3.980e-7, -6.400e+0
0.085, 3.900e-7, -6.409e+0
0.084, 3.870e-7, -6.412e+0
0.083, 3.690e-7, -6.433e+0
0.082, 3.700e-7, -6.432e+0
0.081, 3.640e-7, -6.439e+0
0.080, 3.610e-7, -6.442e+0
0.079, 3.570e-7, -6.447e+0
0.078, 3.510e-7, -6.455e+0
0.077, 3.390e-7, -6.470e+0
0.076, 3.340e-7, -6.476e+0
0.075, 3.310e-7, -6.480e+0
0.074, 3.210e-7, -6.493e+0
0.073, 3.080e-7, -6.511e+0
0.072, 3.100e-7, -6.509e+0
0.071, 3.150e-7, -6.502e+0
0.070, 3.060e-7, -6.514e+0
0.069, 2.970e-7, -6.527e+0
0.068, 2.810e-7, -6.551e+0
0.067, 2.760e-7, -6.559e+0
0.066, 2.760e-7, -6.559e+0
0.065, 2.670e-7, -6.573e+0
0.064, 2.640e-7, -6.578e+0
0.063, 2.590e-7, -6.587e+0
0.062, 2.570e-7, -6.590e+0
0.061, 2.510e-7, -6.600e+0
0.060, 2.380e-7, -6.623e+0
