molecule,C6_000,C6_202,C6_022,C6_22X
c60-Ih,52101.2,15975.0,0.1,0.1
c70-D5h,63556.9,19479.5,3187.3,2973.4
c76-D2,69337.8,21250.3,5380.7,5005.9
c78-C2v-2,71003.7,21761.3,5160.0,4802.7
c84-D2-22,77389.7,23715.8,3099.1,2894.5
c90-C1-32,83804.5,25679.1,6352.6,5910.2
c90-D5h,83319.1,25531.7,12979.9,12012.3
c96-D3d,90088.5,27602.6,14873.4,13756.6
c100-D5d,96101.1,29438.3,18075.5,16696.5
c114-D3h,111755.5,34227.3,25111.4,23155.8
c120-D5d,119937.7,36726.6,30593.6,28174.1
c130-D5h,134436.5,41153.1,37702.4,34679.7
